Time,Status,Message
0.0,2,Yellow
42.508,1,AllClear
48.868,2,Yellow
102.617,1,AllClear
129.585,2,Yellow
175.116,1,AllClear
202.693,2,Yellow
328.816,1,AllClear
663.123,2,Yellow
677.326,1,AllClear
755.105,2,Yellow
778.121,1,AllClear
783.699,2,Yellow
826.885,1,AllClear
866.916,2,Yellow
870.416,1,AllClear
993.398,2,Yellow
1100.599,1,AllClear
1883.523,2,Yellow
1886.195,1,AllClear
4145.171,2,Yellow
4300.527,1,AllClear
4301.105,2,Yellow
4319.402,1,AllClear
4319.902,2,Yellow
4339.277,1,AllClear
4343.011,2,Yellow
4375.292,1,AllClear
5656.035,2,Yellow
