Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-03-26 13:45:11,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2022-03-26 13:46:53,Other,DRS ENABLED IN ZONE 3,,,,,,
2022-03-26 13:47:48,Other,DRS DISABLED IN ZONE 1,,,,,,
2022-03-26 13:47:59,Other,DRS DISABLED IN ZONE 2,,,,,,
2022-03-26 13:52:13,Other,DRS ENABLED IN ZONE 1,,,,,,
2022-03-26 13:52:18,Other,DRS ENABLED IN ZONE 2,,,,,,
2022-03-26 13:52:22,Other,DRS DISABLED IN ZONE 2,,,,,,
2022-03-26 13:52:22,Other,DRS ENABLED IN ZONE 2,,,,,,
2022-03-26 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-03-26 14:18:35,CarEvent,CAR 10 (GAS) MISSED THE APEX OF TURN 2,,,,,10,
2022-03-26 14:20:04,CarEvent,CAR 44 (HAM) MISSED THE APEX OF TURN 17,,,,,44,
2022-03-26 14:23:35,CarEvent,CAR 77 (BOT) MISSED THE APEX OF TURN 2,,,,,77,
2022-03-26 14:37:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2022-03-26 14:37:14,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2022-03-26 14:40:51,Other,PIT EXIT INCIDENT INVOLVING CAR 63 (RUS) NOTED,,,,,,
2022-03-26 14:42:21,CarEvent,CAR 63 (RUS) MISSED THE APEX OF TURN 2,,,,,63,
2022-03-26 14:43:20,Other,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 63 (RUS) REVIEWED NO FURTHER INVESTIGATION,,,,,,
2022-03-26 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-03-26 15:00:20,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
2022-03-26 15:07:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2022-03-26 15:08:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2022-03-26 15:08:34,Other,DRS DISABLED IN ZONE 3,,,,,,
2022-03-26 15:09:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2022-03-26 15:09:04,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2022-03-26 15:09:19,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2022-03-26 15:09:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2022-03-26 15:10:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2022-03-26 15:10:13,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
