Time,Status,Message
0.771,2,Yellow
5.215,1,AllClear
7.498,2,Yellow
13.455,1,AllClear
16.974,2,Yellow
22.333,1,AllClear
31.049,2,Yellow
35.828,1,AllClear
46.157,2,Yellow
54.638,1,AllClear
55.53,2,Yellow
61.029,1,AllClear
78.477,2,Yellow
89.492,1,AllClear
1146.595,2,Yellow
1158.369,1,AllClear
1182.981,2,Yellow
1192.647,1,AllClear
1347.66,2,Yellow
1357.333,1,AllClear
1455.752,2,Yellow
1474.864,1,AllClear
1570.139,2,Yellow
1603.149,1,AllClear
1614.043,2,Yellow
1653.573,5,Red
1956.306,1,AllClear
2087.432,2,Yellow
2097.368,1,AllClear
2522.363,2,Yellow
2558.397,6,VSCDeployed
2626.594,7,VSCEnding
2638.23,1,AllClear
2658.463,2,Yellow
2673.766,1,AllClear
2769.1,2,Yellow
2777.052,1,AllClear
2787.922,2,Yellow
2803.007,1,AllClear
2850.232,2,Yellow
2859.633,1,AllClear
4000.477,2,Yellow
4007.739,1,AllClear
4102.689,2,Yellow
4115.166,1,AllClear
