Time,Status,Message
0.0,2,Yellow
323.294,1,AllClear
1104.003,2,Yellow
1106.738,1,AllClear
1166.815,2,Yellow
1169.8,1,AllClear
1229.69,2,Yellow
1237.799,1,AllClear
1414.812,2,Yellow
1436.422,1,AllClear
1530.389,2,Yellow
1558.014,1,AllClear
1688.309,2,Yellow
1698.528,1,AllClear
1720.012,2,Yellow
1724.371,1,AllClear
1739.715,2,Yellow
1801.48,5,Red
2531.909,1,AllClear
3262.854,2,Yellow
3284.323,1,AllClear
3938.94,2,Yellow
3940.253,1,AllClear
3941.237,2,Yellow
3957.112,1,AllClear
4055.454,2,Yellow
4070.032,1,AllClear
4614.417,2,Yellow
4624.464,6,VSCDeployed
4988.35,1,AllClear
