Time,Status,Message
0.0,1,AllClear
1853.856,2,Yellow
1872.451,1,AllClear
3013.042,2,Yellow
3014.845,1,AllClear
4558.449,2,Yellow
4570.264,4,SCDeployed
5092.688,5,Red
5661.474,1,AllClear
6467.276,2,Yellow
6502.569,5,Red
7234.203,1,AllClear
8543.419,2,Yellow
8590.025,6,VSCDeployed
8698.871,7,VSCEnding
8709.931,1,AllClear
9007.808,6,VSCDeployed
9043.353,7,VSCEnding
9058.271,1,AllClear
9182.53,6,VSCDeployed
9612.66,7,VSCEnding
9623.767,1,AllClear
9892.318,6,VSCDeployed
9926.606,7,VSCEnding
9939.453,1,AllClear
