Time,Status,Message
0.0,1,AllClear
1012.753,2,Yellow
1057.818,1,AllClear
1127.951,2,Yellow
1139.894,1,AllClear
1164.684,2,Yellow
1171.815,1,AllClear
1211.905,2,Yellow
1219.492,1,AllClear
1441.456,2,Yellow
1448.472,5,Red
1727.751,1,AllClear
2297.702,2,Yellow
2305.013,1,AllClear
3283.041,2,Yellow
3294.324,1,AllClear
3400.413,2,Yellow
3427.637,5,Red
3794.302,1,AllClear
4152.05,2,Yellow
4204.133,5,Red
4404.37,1,AllClear
4406.011,5,Red
4721.715,1,AllClear
5214.01,2,Yellow
5219.626,5,Red
5755.866,1,AllClear
6105.01,2,Yellow
6122.711,1,AllClear
6138.306,2,Yellow
6146.545,5,Red
6614.2,1,AllClear
