Time,Status,Message
0.0,1,AllClear
50.517,2,Yellow
60.724,1,AllClear
121.824,2,Yellow
136.436,1,AllClear
1608.918,6,VSCDeployed
1638.698,7,VSCEnding
1649.291,1,AllClear
1843.035,2,Yellow
1844.359,1,AllClear
2573.294,2,Yellow
2700.271,1,AllClear
3145.211,2,Yellow
3155.839,1,AllClear
3158.283,2,Yellow
3164.173,1,AllClear
3267.095,2,Yellow
3273.361,1,AllClear
3436.163,2,Yellow
3442.301,1,AllClear
3527.522,2,Yellow
3549.17,1,AllClear
4313.265,2,Yellow
4320.681,1,AllClear
4344.672,2,Yellow
4368.459,1,AllClear
4392.196,2,Yellow
4455.228,1,AllClear
4524.986,2,Yellow
4530.777,1,AllClear
