Time,Status,Message
0.0,1,AllClear
1060.48,2,Yellow
1072.265,1,AllClear
1470.652,2,Yellow
1476.692,1,AllClear
1550.314,2,Yellow
1558.296,1,AllClear
1779.0,2,Yellow
1785.535,5,Red
2320.297,1,AllClear
2652.93,2,Yellow
2657.16,1,AllClear
3682.677,2,Yellow
3720.43,1,AllClear
3791.512,2,Yellow
3837.528,1,AllClear
4136.656,2,Yellow
4154.917,1,AllClear
4491.786,2,Yellow
4510.567,1,AllClear
4750.826,2,Yellow
4760.734,5,Red
5214.926,1,AllClear
5433.151,2,Yellow
5445.282,1,AllClear
5837.422,2,Yellow
5886.194,1,AllClear
6132.545,2,Yellow
6153.865,1,AllClear
6230.435,2,Yellow
6271.741,1,AllClear
6307.245,2,Yellow
6315.488,1,AllClear
