Time,Status,Message
0.0,1,AllClear
325.672,2,Yellow
327.799,1,AllClear
333.813,2,Yellow
334.808,1,AllClear
336.267,2,Yellow
340.885,1,AllClear
351.105,2,Yellow
352.106,1,AllClear
827.102,2,Yellow
834.7,1,AllClear
1733.592,2,Yellow
1756.448,5,Red
2211.527,1,AllClear
2794.857,2,Yellow
2829.194,5,Red
3068.152,1,AllClear
3340.396,2,Yellow
3347.956,1,AllClear
3429.963,2,Yellow
3432.487,1,AllClear
3827.539,2,Yellow
3832.695,1,AllClear
3834.707,2,Yellow
3838.704,1,AllClear
3920.501,2,Yellow
3949.421,1,AllClear
3954.781,2,Yellow
3958.893,1,AllClear
4383.518,2,Yellow
4406.313,1,AllClear
