Time,Status,Message
3.496,2,Yellow
5.602,1,AllClear
35.803,2,Yellow
88.407,1,AllClear
121.822,2,Yellow
129.372,1,AllClear
420.311,2,Yellow
423.306,1,AllClear
426.504,2,Yellow
429.172,1,AllClear
447.096,2,Yellow
455.614,1,AllClear
504.161,2,Yellow
510.681,1,AllClear
519.402,2,Yellow
555.5,1,AllClear
1717.931,2,Yellow
1724.967,1,AllClear
2073.735,2,Yellow
2078.072,1,AllClear
2190.282,2,Yellow
2196.397,1,AllClear
3943.28,2,Yellow
3957.024,1,AllClear
4273.797,2,Yellow
4282.002,1,AllClear
4409.657,2,Yellow
4442.994,1,AllClear
4492.805,2,Yellow
4567.279,1,AllClear
5751.799,2,Yellow
5753.001,1,AllClear
6282.292,2,Yellow
6284.569,1,AllClear
