Time,Status,Message
282.136,1,AllClear
1497.65,2,Yellow
1503.853,1,AllClear
1509.482,2,Yellow
1518.636,1,AllClear
1531.865,2,Yellow
1538.079,1,AllClear
1542.701,2,Yellow
1557.176,1,AllClear
2001.929,2,Yellow
2005.453,1,AllClear
2425.914,2,Yellow
2429.162,1,AllClear
2608.466,2,Yellow
2612.405,1,AllClear
2654.388,2,Yellow
2657.198,1,AllClear
2663.408,2,Yellow
2667.879,1,AllClear
2735.018,2,Yellow
2769.007,4,SCDeployed
3189.865,1,AllClear
3265.649,2,Yellow
3267.067,1,AllClear
3282.013,2,Yellow
3306.708,1,AllClear
5274.458,2,Yellow
5277.613,1,AllClear
8197.066,2,Yellow
8298.957,1,AllClear
