Time,Status,Message
0.0,1,AllClear
72.752,2,Yellow
81.241,1,AllClear
92.2,2,Yellow
131.444,1,AllClear
1122.915,2,Yellow
1129.853,1,AllClear
1278.616,2,Yellow
1283.428,1,AllClear
1368.608,2,Yellow
1383.257,1,AllClear
1478.14,2,Yellow
1489.228,1,AllClear
1515.914,2,Yellow
1526.739,1,AllClear
1540.981,2,Yellow
1550.82,1,AllClear
1564.37,5,Red
4140.364,1,AllClear
4226.202,2,Yellow
4228.641,1,AllClear
4355.527,2,Yellow
4367.716,1,AllClear
4393.829,2,Yellow
4406.581,5,Red
4620.541,1,AllClear
4841.31,2,Yellow
4868.727,1,AllClear
4917.886,2,Yellow
5443.364,1,AllClear
7054.525,2,Yellow
7056.744,1,AllClear
7294.289,2,Yellow
7296.626,1,AllClear
7301.191,2,Yellow
7311.709,1,AllClear
7312.353,2,Yellow
7313.198,1,AllClear
7410.209,2,Yellow
7426.801,1,AllClear
7448.436,2,Yellow
7458.942,1,AllClear
