Time,Status,Message
774.451,1,AllClear
774.451,2,Yellow
774.451,1,AllClear
774.451,2,Yellow
774.451,1,AllClear
774.451,2,Yellow
774.451,1,AllClear
1102.186,2,Yellow
1115.015,1,AllClear
1237.662,2,Yellow
1251.014,1,AllClear
2023.15,2,Yellow
2035.508,5,Red
3654.136,1,AllClear
3662.055,2,Yellow
3664.744,1,AllClear
3668.327,2,Yellow
3673.964,1,AllClear
4333.581,2,Yellow
4345.746,5,Red
5878.921,1,AllClear
6380.969,2,Yellow
6383.747,1,AllClear
6645.53,2,Yellow
6667.842,1,AllClear
6719.747,2,Yellow
6726.133,1,AllClear
