Time,Status,Message
742.225,1,AllClear
742.225,2,Yellow
742.225,1,AllClear
742.225,2,Yellow
742.225,1,AllClear
742.225,2,Yellow
742.225,1,AllClear
1350.304,2,Yellow
1366.623,1,AllClear
1637.202,2,Yellow
1659.616,1,AllClear
1735.083,2,Yellow
1756.467,1,AllClear
2864.737,2,Yellow
2884.479,1,AllClear
2885.964,2,Yellow
2900.088,1,AllClear
3737.359,2,Yellow
3752.618,1,AllClear
3989.409,2,Yellow
3993.002,1,AllClear
3993.511,2,Yellow
3996.031,1,AllClear
4002.501,2,Yellow
4017.167,1,AllClear
4438.533,2,Yellow
4440.529,1,AllClear
4441.562,2,Yellow
4449.628,1,AllClear
