Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-04-16 12:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-04-16 12:34:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2021-04-16 12:34:56,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2021-04-16 12:37:49,Other,CAR 47 (MSC) TIME 1:19.632 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:38:47,Other,CAR 16 (LEC) TIME 1:16.705 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:39:45,Other,CAR 47 (MSC) TIME 1:18.606 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:39:52,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2021-04-16 12:39:53,Other,DRS DISABLED IN ZONE 1,,,,,,
2021-04-16 12:40:04,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2021-04-16 12:40:12,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2021-04-16 12:40:15,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2021-04-16 12:41:09,Other,CAR 4 (NOR) TIME 1:34.869 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:41:17,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2021-04-16 12:41:32,Flag,TRACK CLEAR,,CLEAR,Track,,,
2021-04-16 12:41:32,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2021-04-16 12:41:37,Drs,DRS ENABLED,ENABLED,,,,,
2021-04-16 12:44:57,Other,CAR 10 (GAS) TIME 1:16.117 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:51:42,Other,CAR 16 (LEC) TIME 1:15.367 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:52:36,Other,CAR 22 (TSU) TIME 1:16.880 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:56:37,Other,CAR 5 (VET) TIME 1:17.809 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:57:36,Other,CAR 99 (GIO) TIME 1:16.978 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 12:58:13,Other,CAR 11 (PER) TIME 1:16.511 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 13:00:52,Other,CAR 3 (RIC) TIME 1:16.782 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 13:14:49,Other,CAR 44 (HAM) TIME 1:20.049 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 13:17:53,Other,CAR 5 (VET) TIME 1:20.731 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2021-04-16 13:18:42,Other,CAR 4 (NOR) TIME 1:21.343 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 13:19:11,Other,CAR 63 (RUS) TIME 1:19.888 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2021-04-16 13:24:27,Other,CAR 7 (RAI) TIME 1:21.137 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2021-04-16 13:25:06,Other,CAR 99 (GIO) TIME 1:20.029 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 13:25:57,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2021-04-16 13:26:07,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2021-04-16 13:26:21,Flag,RED FLAG,,RED,Track,,,
2021-04-16 13:26:21,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2021-04-16 13:26:21,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2021-04-16 13:26:23,Other,CAR 10 (GAS) TIME 1:20.443 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2021-04-16 13:27:00,Other,SESSION WILL NOT BE RESTARTED,,,,,,
2021-04-16 13:29:44,Flag,TRACK CLEAR,,CLEAR,Track,,,
