Time,Status,Message
708.958,1,AllClear
2600.33,4,SCDeployed
2855.862,1,AllClear
3790.874,2,Yellow
3828.061,6,VSCDeployed
3898.741,7,VSCEnding
3912.678,1,AllClear
4192.092,2,Yellow
4211.625,1,AllClear
4910.839,2,Yellow
4931.593,1,AllClear
4962.174,2,Yellow
4997.328,6,VSCDeployed
5086.236,7,VSCEnding
5098.288,1,AllClear
5122.906,2,Yellow
5146.417,4,SCDeployed
5795.078,1,AllClear
6436.087,2,Yellow
6471.607,4,SCDeployed
7024.937,1,AllClear
7645.277,2,Yellow
7651.942,1,AllClear
7945.379,2,Yellow
7964.264,4,SCDeployed
8278.448,1,AllClear
