Time,Status,Message
0.0,2,Yellow
1.078,1,AllClear
14.047,2,Yellow
176.795,1,AllClear
185.467,2,Yellow
266.669,1,AllClear
271.794,2,Yellow
301.559,1,AllClear
351.558,2,Yellow
360.48,1,AllClear
396.292,2,Yellow
401.98,1,AllClear
407.886,2,Yellow
421.355,1,AllClear
428.979,2,Yellow
437.182,1,AllClear
779.382,2,Yellow
800.1,1,AllClear
1377.172,2,Yellow
1384.688,1,AllClear
1386.797,2,Yellow
1391.188,1,AllClear
1632.544,2,Yellow
1747.09,1,AllClear
3166.371,2,Yellow
3167.793,1,AllClear
3340.166,2,Yellow
3364.884,1,AllClear
3581.382,2,Yellow
4303.999,1,AllClear
5808.185,2,Yellow
5824.607,4,SCDeployed
6198.025,1,AllClear
6218.415,2,Yellow
6230.587,1,AllClear
6437.788,2,Yellow
6444.256,1,AllClear
6958.829,2,Yellow
