Time,Status,Message
3.111,2,Yellow
232.277,1,AllClear
239.214,2,Yellow
241.194,1,AllClear
245.123,2,Yellow
247.302,1,AllClear
255.014,2,Yellow
256.35,1,AllClear
258.118,2,Yellow
260.445,1,AllClear
272.642,2,Yellow
274.814,1,AllClear
3655.06,2,Yellow
3656.4,1,AllClear
6689.252,2,Yellow
6711.29,1,AllClear
6723.476,2,Yellow
6734.727,1,AllClear
8204.912,2,Yellow
8212.398,1,AllClear
8213.692,2,Yellow
8220.909,1,AllClear
8359.105,2,Yellow
8361.483,1,AllClear
8589.971,6,VSCDeployed
8747.258,7,VSCEnding
8759.667,1,AllClear
