Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-03-18 14:45:20,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2022-03-18 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2022-03-18 15:50:14,Other,TURN 8 INCIDENT INVOLVING CARS 16 (LEC) AND 22 (TSU) NOTED ,,,,,,
2022-03-18 15:56:57,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 16 (LEC) AND 22 (TSU) UNDER INVESTIGATION ,,,,,,
2022-03-18 16:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2022-03-18 16:00:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
2022-03-18 16:05:32,Other,TURN 8 INCIDENT INVOLVING CARS 18 (STR) AND 22 (TSU) NOTED,,,,,,
2022-03-18 16:06:58,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 18 (STR) AND 22 (TSU) UNDER INVESTIGATION,,,,,,
2022-03-18 16:15:13,Other,RISK OF RAIN FOR F2 QUALIFYING SESSION IS 0%,,,,,,
